query_id,retriever,k,hit,recall,mrr,ndcg,goldset_count,retrieved_relevant_count,matched_isbns
S06,dense,20,1,0.22727272727272727,1.0,0.7786388579978365,66,15,"['9791191369496', '9788989999072', '9791188674725', '9788977182400', '9791162143056', '9791159036712', '9791161690728', '9791193262511', '9791155817704', '9791195214310', '9788995217337', '9791168223448', '9788993554816', '9791190456425', '9791168223257']"
S06,hybrid,20,1,0.24242424242424243,1.0,0.7509766135231285,66,16,"['9791191369496', '9788977182400', '9788993554816', '9791162143056', '9791192959269', '9791197910517', '9791161690728', '9788986346428', '9791193262511', '9788992555432', '9791155817704', '9791195214310', '9791168223448', '9788970125374', '9791190456425', '9791168223257']"
S07,bm25,20,1,1.0,1.0,0.8771482741814733,8,8,"['9791196159085', '9788925575872', '9788967995386', '9788901290003', '9791190640077', '9791193780138', '9791189159757', '9791198825018']"
S07,dense,20,1,0.75,1.0,0.7238041938808357,8,6,"['9791196159085', '9788901290003', '9791190640077', '9791193780138', '9791189159757', '9791198825018']"
S07,hybrid,20,1,0.875,1.0,0.8530017786098149,8,7,"['9791196159085', '9788925575872', '9788901290003', '9791190640077', '9791193780138', '9791189159757', '9791198825018']"
S08,bm25,20,1,0.3181818181818182,1.0,0.4182191080160603,22,7,"['9788989027546', '9788957074848', '9788980971923', '9791197063220', '9788954645898', '9788986442779', '9791186589571']"
S08,dense,20,1,0.2727272727272727,0.3333333333333333,0.2579328054816504,22,6,"['9788980971923', '9788940402894', '9788988295106', '9788997419043', '9788993418019', '9788955520026']"
S08,hybrid,20,1,0.36363636363636365,1.0,0.4279162109959172,22,8,"['9788980971923', '9788957074848', '9791197063220', '9788988295106', '9788958772071', '9788993418019', '9788955520026', '9791197063244']"
S09,bm25,20,1,0.09523809523809523,0.5,0.14456587527532935,21,2,"['9788982811487', '9791130628660']"
S09,dense,20,1,0.2857142857142857,1.0,0.3782868034862748,21,6,"['9788936434106', '9791167563477', '9791173740459', '9791198978318', '9791169572446', '9791170610328']"
S09,hybrid,20,1,0.2857142857142857,0.14285714285714285,0.23297624364051123,21,6,"['9788936434106', '9791173740459', '9791198978318', '9791169572446', '9791170610328', '9791195394128']"
S10,bm25,20,1,0.16,0.3333333333333333,0.3537575275350918,50,8,"['9791157833733', '9791188806096', '9788973813445', '9788963490816', '9791196539757', '9791172130978', '9788996105497', '9791165347772']"
S10,dense,20,1,0.26,1.0,0.7111829343548965,50,13,"['9791159350405', '9788997294411', '9791188806096', '9791137263734', '9791161432076', '9791159350382', '9791187033103', '9791191369601', '9791185446431', '9788991824379', '9791162993712', '9791185716985', '9788964795521']"
